"","province","district","variable","value"
"8057","Kâmpôt","Kampong Bay","NL_VIIRS.M_201601_SUM",115.610000567511
"8058","Kâmpóng Cham","Kampong Cham","NL_VIIRS.M_201601_SUM",278.510001605376
"8059","Kâmpóng Chhnang","Kampong Chhnang","NL_VIIRS.M_201601_SUM",108.360000379383
"8060","Kâmpóng Chhnang","Kampong Leaeng","NL_VIIRS.M_201601_SUM",3.04999998770654
"8061","Prey Vêng","Kampong Leav","NL_VIIRS.M_201601_SUM",68.4000010658055
"8062","Svay Rieng","Kampong Rou","NL_VIIRS.M_201601_SUM",20.0399999152869
"8063","Kaôh Kong","Kampong Seila","NL_VIIRS.M_201601_SUM",41.7700004503131
"8064","Kâmpóng Cham","Kampong Siem","NL_VIIRS.M_201601_SUM",75.4299998562783
"8065","Tbong Khmum","Kampong Siem","NL_VIIRS.M_201601_SUM",0
"8066","Kâmpóng Thum","Kampong Svay","NL_VIIRS.M_201601_SUM",31.3400001749396
"8067","Prey Vêng","Kampong Trabaek","NL_VIIRS.M_201601_SUM",5.99000002257526
"8068","Kâmpôt","Kampong Trach","NL_VIIRS.M_201601_SUM",16.3699999898672
"8069","Kâmpóng Chhnang","Kampong Tralach","NL_VIIRS.M_201601_SUM",26.0800001118333
"8070","Kâmpôt","Kampot","NL_VIIRS.M_201601_SUM",179.899999752641
"8071","Kândal","Kandal Stueng","NL_VIIRS.M_201601_SUM",123.320000031963
"8072","Pouthisat","Kandieng","NL_VIIRS.M_201601_SUM",15.0800000671297
"8073","Kâmpóng Cham","Kang Meas","NL_VIIRS.M_201601_SUM",0.330000000074506
"8074","Prey Vêng","Kanhchriech","NL_VIIRS.M_201601_SUM",0.0399999991059303
"8075","Takêv","Kaoh Andaet","NL_VIIRS.M_201601_SUM",0.0299999993294477
"8076","Kaôh Kong","Kaoh Kong","NL_VIIRS.M_201601_SUM",18.7500000987202
"8077","Môndól Kiri","Kaoh Nheaek","NL_VIIRS.M_201601_SUM",3478.05999141932
"8078","Kâmpóng Cham","Kaoh Soutin","NL_VIIRS.M_201601_SUM",0.0999999977648259
"8079","Kândal","Kaoh Thum","NL_VIIRS.M_201601_SUM",90.3499997686595
"8080","Kândal","Khsach Kandal","NL_VIIRS.M_201601_SUM",461.259999128058
"8081","Kândal","Kien Svay","NL_VIIRS.M_201601_SUM",728.700002243742
"8082","Kaôh Kong","Kiri Sakor","NL_VIIRS.M_201601_SUM",17.420000070706
"8083","Takêv","Kiri Vong","NL_VIIRS.M_201601_SUM",8.66999998316169
"8084","Kâmpóng Spœ","Kong Pisei","NL_VIIRS.M_201601_SUM",59.5900000855327
"8085","Rôtânôkiri","Koun Mom","NL_VIIRS.M_201601_SUM",604.989999163896
"8086","Krâchéh","Kracheh","NL_VIIRS.M_201601_SUM",231.260000137612
"8087","Pouthisat","Krakor","NL_VIIRS.M_201601_SUM",40.5299999266863
"8088","Siemréab","Kralanh","NL_VIIRS.M_201601_SUM",8.03999993018805
"8089","Tbong Khmum","Krouch Chhmar","NL_VIIRS.M_201601_SUM",2.11999996006489
"8090","Preah Vihéar","Kuleaen","NL_VIIRS.M_201601_SUM",56.0299995932728
"8091","Kândal","Leuk Daek","NL_VIIRS.M_201601_SUM",28.2499998435378
"8092","Rôtânôkiri","Lumphat","NL_VIIRS.M_201601_SUM",217.900000266731
"8093","Kândal","Lvea Aem","NL_VIIRS.M_201601_SUM",171.739999998361
"8094","Bântéay Méanchey","Malai","NL_VIIRS.M_201601_SUM",59.4900001827627
"8095","Prey Vêng","Me Sang","NL_VIIRS.M_201601_SUM",0.509999990463258
"8096","Phnom Penh","Mean Chey","NL_VIIRS.M_201601_SUM",1897.96000212431
"8097","Tbong Khmum","Memot","NL_VIIRS.M_201601_SUM",176.240000234917
"8098","Krong Preah Sihanouk","Mittakpheap","NL_VIIRS.M_201601_SUM",1007.09999741241
"8099","Kaôh Kong","Mondol Seima","NL_VIIRS.M_201601_SUM",194.830000346527
"8100","Bântéay Méanchey","Mongkol Borei","NL_VIIRS.M_201601_SUM",31.2399999592453
"8101","BatdÃ¢mbÃ¢ng","Moung Ruessei","NL_VIIRS.M_201601_SUM",20.2999999765307
"8102","Kândal","Mukh Kampul","NL_VIIRS.M_201601_SUM",389.079999709502
"8103","Kâmpóng Spœ","Odongk","NL_VIIRS.M_201601_SUM",61.1400000136346
"8104","Bântéay Méanchey","Ou Chrov","NL_VIIRS.M_201601_SUM",762.839998736977
"8105","Rôtânôkiri","Ou Chum","NL_VIIRS.M_201601_SUM",4.74999998696148
"8106","Môndól Kiri","Ou Reang","NL_VIIRS.M_201601_SUM",27.7399998921901
"8107","Tbong Khmum","Ou Reang Ov","NL_VIIRS.M_201601_SUM",3.14999997243286
"8108","Rôtânôkiri","Ou Ya Dav","NL_VIIRS.M_201601_SUM",461.599999727681
"8109","Krong Pailin","Pailin","NL_VIIRS.M_201601_SUM",47.7199998684228
"8110","Prey Vêng","Pea Reang","NL_VIIRS.M_201601_SUM",12.4999999366701
"8111","Prey Vêng","Peam Chor","NL_VIIRS.M_201601_SUM",3.85000003501773
"8112","Prey Vêng","Peam Ro","NL_VIIRS.M_201601_SUM",31.870000006631
"8113","Môndól Kiri","Pechr Chenda","NL_VIIRS.M_201601_SUM",1398.29999788292
"8114","Phnom Penh","Phnom Penh","NL_VIIRS.M_201601_SUM",3993.44999980927
"8115","Pouthisat","Phnum Kravanh","NL_VIIRS.M_201601_SUM",17.810000045225
"8116","BatdÃ¢mbÃ¢ng","Phnum Proek","NL_VIIRS.M_201601_SUM",144.699998483062
"8117","Bântéay Méanchey","Phnum Srok","NL_VIIRS.M_201601_SUM",71.2999990079552
"8118","Kâmpóng Spœ","Phnum Sruoch","NL_VIIRS.M_201601_SUM",60.1399999130518
"8119","Tbong Khmum","Ponhea Kraek","NL_VIIRS.M_201601_SUM",60.5799998734146
"8120","Kândal","Ponhea Lueu","NL_VIIRS.M_201601_SUM",218.049998864531
"8121","Siemréab","Prasat Bakong","NL_VIIRS.M_201601_SUM",67.0999995674939
"8122","Kâmpóng Thum","Prasat Balangk","NL_VIIRS.M_201601_SUM",0.109999997541308
"8123","Kâmpóng Thum","Prasat Sambour","NL_VIIRS.M_201601_SUM",0.21000000089407
"8124","Krâchéh","Preaek Prasab","NL_VIIRS.M_201601_SUM",47.2999999634922
"8125","Bântéay Méanchey","Preah Netr Preah","NL_VIIRS.M_201601_SUM",8.80999992415309
"8126","Prey Vêng","Preah Sdach","NL_VIIRS.M_201601_SUM",11.5000001024455
"8127","Kâmpóng Cham","Prey Chhor","NL_VIIRS.M_201601_SUM",12.9399999901652
"8128","Takêv","Prey Kabbas","NL_VIIRS.M_201601_SUM",1.67999999411404
"8129","Krong Preah Sihanouk","Prey Nob","NL_VIIRS.M_201601_SUM",163.88000080362
"8130","Prey Vêng","Prey Veaeng","NL_VIIRS.M_201601_SUM",10.8200000375509
"8131","Siemréab","Puok","NL_VIIRS.M_201601_SUM",539.559996886179
